"plot_id","contributor","easting_utm_zone13","northing_utm_zone13","fire_year","plot_size","sample_year","time_since_fire","count_PIPO","elevation","slope","aspect","fire_severity_other","grass_cover","forb_cover","soil_cover","rock_cover","organic_cover","shrub_cover"
"L01001","SLH",381550.0906,3965273.411,"1977",10,"2005",28,66.6666666666667,2193,26.56505,216.8699,"tree_mortality_100%",22,3,15,13,47,28
"L01002","SLH",381750.0906,3965113.411,"1977",10,"2005",28,0,2191,18.20209,188.7462,"tree_mortality_100%",15,4,33,4,44,29
"L01004","SLH",381360.0906,3964653.411,"1977",10,"2005",6,33.3333333333333,2167,24.11152,234.0903,"tree_mortality_100%",9,3,32,21,35,9
"L02012","SLH",380530.0906,3965353.411,"1977",4,"2005",6,0,2209,19.93649,91.97494,"tree_mortality_100%",14,6,35,11,34,16
"L02013","SLH",380290.0906,3965123.411,"1977",4,"2005",6,0,2208,29.41207,93.81407,"tree_mortality_100%",46,3,18,14,19,5
"L02017","SLH",382180.0906,3963953.411,"1977",10,"2005",6,11.1111111111111,2145,29.50819,276.3402,"tree_mortality_100%",9,1,29,8,53,25
"L03030","SLH",377870.0906,3962903.411,"1977",10,"2005",28,55.5555555555556,2234,48.54094,83.65981,"tree_mortality_100%",33,9,22,2,34,12
"L03032","SLH",379330.0906,3962303.411,"1977",10,"2005",8,222.222222222222,2185,14.03624,53.1301,"tree_mortality_100%",12,6,27,16,39,21
"L04037","SLH",380850.0906,3964323.411,"1977",10,"2005",6,22.2222222222222,2194,11.64863,75.96375,"tree_mortality_100%",31,6,34,0,29,5
"L04039","SLH",381660.0906,3963743.411,"1977",4,"2005",6,26.0416666666667,2138,28.12178,169.2157,"tree_mortality_100%",16,5,39,15,25,6
"L04043","SLH",378390.0906,3962853.411,"1977",10,"2005",28,133.333333333333,2214,9.520202,153.435,"tree_mortality_100%",34,11,8,0,47,5
"L05054","SLH",382030.0906,3963453.411,"1977",10,"2005",6,200,2137,34.59231,46.4688,"tree_mortality_100%",17,2,40,8,33,5
"L05062","SLH",379010.0906,3962243.411,"1977",10,"2005",8,33.3333333333333,2189,28.0041,23.55226,"tree_mortality_100%",31,9,19,9,32,5
"L05068","SLH",376430.0906,3961283.411,"1977",4,"2005",9,0,2386,14.88257,41.18592,"tree_mortality_100%",56,0,4,0,40,42
"L06070","SLH",378840.0906,3965563.411,"1977",10,"2005",7,55.5555555555556,2246,10.02499,98.1301,"tree_mortality_100%",12,5,35,1,47,26
"L06071","SLH",378850.0906,3963873.411,"1977",10,"2005",7,22.2222222222222,2181,12.3342,120.9638,"tree_mortality_100%",48,1,15,5,31,5
"L06072","SLH",379060.0906,3963783.411,"1977",10,"2005",7,233.333333333333,2176,31.6198,174.1737,"tree_mortality_100%",22,0,19,36,23,3
"L06076","SLH",381860.0906,3963153.411,"1977",10,"2005",6,11.1111111111111,2129,16.91652,189.4623,"tree_mortality_100%",30,3,30,7,30,1
