"plot_id","contributor","easting_utm_zone12","northing_utm_zone12","fire_year","plot_size","sample_year","time_since_fire","count_PIPO","elevation","slope","aspect","distance_seed_source_PIPO","fire_severity_other","grass_cover","forb_cover","soil_cover","rock_cover","organic_cover","potr_cover"
"S01001","SLH",410507.0466,4025899.866,"1960",4,"2005",45,0,2021,12.97935,12.52881,510,"tree_mortality_100%",21,3,4,21,51,0
"S01002","SLH",410357.0466,4025679.866,"1960",4,"2005",45,0,2072,15.79317,315,519.7115,"tree_mortality_100%",42,3,4,28,23,0
"S01006","SLH",410967.0466,4021419.866,"1960",8,"2005",5,13.5869565217391,2141,8.984877,18.43495,410.3657,"tree_mortality_100%",2,5,18,14,61,0
"S01007","SLH",411057.0466,4021329.866,"1960",4,"2005",5,0,2156,11.30993,0,404.5986,"tree_mortality_100%",2,3,19,10,66,0
"S02008","SLH",412227.0466,4022099.866,"1960",4,"2005",45,0,2181,31.05129,318.3665,244.1311,"tree_mortality_100%",61,0,5,10,24,0
"S02009","SLH",411907.0466,4021659.866,"1960",4,"2005",45,26.0416666666667,2296,34.11927,322.4958,322.0248,"tree_mortality_100%",30,17,7,32,14,0
"S02010","SLH",409957.0466,4019439.866,"1960",4,"2005",5,0,2577,29.49621,315,351.2834,"tree_mortality_100%",43,4,4,9,40,14
"S03012","SLH",409427.0466,4024819.866,"1960",4,"2005",45,26.0416666666667,2060,1.01275,45,310.6445,"tree_mortality_100%",20,12,14,4,50,0
"S03018","SLH",412717.0466,4021119.866,"1960",4,"2005",17,0,2256,14.03624,126.8699,313.0495,"tree_mortality_100%",22,4,12,8,54,0
"S03019","SLH",412657.0466,4020969.866,"1960",4,"2005",17,0,2311,17.5484,18.43495,318.2766,"tree_mortality_100%",36,6,11,8,39,0
"S03020","SLH",410547.0466,4019909.866,"1960",10,"2005",5,11.1111111111111,2562,17.75279,128.6598,310,"tree_mortality_100%",61,3,2,25,9,0
"S03021","SLH",410317.0466,4019809.866,"1960",4,"2005",5,0,2642,28.57163,31.86598,274.5906,"tree_mortality_100%",47,2,5,28,18,0
"S03022","SLH",410127.0466,4019009.866,"1960",4,"2005",5,598.958333333333,2671,3.199601,333.4349,177.2005,"tree_mortality_100%",3,0,2,10,85,7
"S04026","SLH",412987.0466,4022759.866,"1960",4,"2005",45,0,2111,11.17999,124.6952,290,"tree_mortality_100%",6,2,6,18,68,0
"S04027","SLH",412727.0466,4022649.866,"1960",4,"2005",45,0,2122,20.84627,336.8014,322.4903,"tree_mortality_100%",29,6,0,12,53,0
"S04028","SLH",412827.0466,4021519.866,"1960",4,"2005",17,0,2233,15.37625,90,268.3282,"tree_mortality_100%",14,2,4,10,70,0
"S04029","SLH",410837.0466,4019699.866,"1960",10,"2005",5,11.1111111111111,2541,2.862405,0,306.7572,"tree_mortality_100%",26,2,9,19,44,12
"S05037","SLH",413587.0466,4022299.866,"1960",4,"2005",45,0,2091,14.30291,101.3099,272.9469,"tree_mortality_100%",21,2,5,28,44,0
"S05038","SLH",413467.0466,4022119.866,"1960",4,"2005",45,0,2117,16.50623,117.646,276.5863,"tree_mortality_100%",21,1,8,22,48,0
"S05042","SLH",412357.0466,4020519.866,"1960",4,"2005",45,0,2332,43.51633,286.049,260,"tree_mortality_100%",2,3,13,48,34,0
"S05044","SLH",409217.0466,4019079.866,"1960",2,"2005",5,0,2649,18.66144,357.8789,260,"tree_mortality_100%",9,1,0,0,90,67
"S05045","SLH",411547.0466,4018529.866,"1960",2,"2005",5,0,2609,15.61613,349.6952,253.1798,"tree_mortality_100%",44,8,3,0,45,74
"S05046","SLH",410017.0466,4018479.866,"1960",2,"2005",5,0,2678,11.30993,270,218.4033,"tree_mortality_100%",30,2,2,4,62,67
"S06056","SLH",411907.0466,4022589.866,"1960",4,"2005",45,0,2196,33.10114,122.4712,178.8854,"tree_mortality_100%",21,1,11,51,16,0
"S06060","SLH",409777.0466,4021309.866,"1960",4,"2005",45,0,2372,28.83577,140.5275,237.6973,"tree_mortality_100%",1,0,32,36,31,0
"S06061","SLH",412167.0466,4019859.866,"1960",4,"2005",5,0,2484,23.85957,132.7094,22.36068,"tree_mortality_100%",2,4,18,47,29,0
"S06065","SLH",411967.0466,4018669.866,"1960",4,"2005",5,0,2580,5.051153,8.130102,80,"tree_mortality_100%",78,2,6,0,14,7
"S06066","SLH",410937.0466,4018239.866,"1960",4,"2005",5,0,2594,21.19139,20.77225,170,"tree_mortality_100%",23,3,0,6,68,20
"S07077","SLH",411897.0466,4019569.866,"1960",4,"2005",5,0,2434,31.99508,289.8852,138.9244,"tree_mortality_100%",9,0,1,29,61,0
"S07078","SLH",412107.0466,4018909.866,"1960",10,"2005",5,0,2559,3.199601,26.56505,90.55385,"tree_mortality_100%",42,8,9,0,41,10
"S07079","SLH",412307.0466,4018909.866,"1960",10,"2005",5,155.555555555556,2552,4.044691,45,120.8305,"tree_mortality_100%",1,1,19,21,58,0
"S07081","SLH",411207.0466,4018719.866,"1960",2,"2005",5,51.0204081632653,2523,33.02387,337.3801,122.0656,"tree_mortality_100%",28,1,1,19,51,21
"S07082","SLH",410337.0466,4018109.866,"1960",2,"2005",5,0,2702,9.876473,68.96249,110.4536,"tree_mortality_100%",25,3,0,1,71,49
"S07083","SLH",410057.0466,4018059.866,"1960",2,"2005",5,0,2685,8.64667,279.4623,167.6305,"tree_mortality_100%",20,2,0,6,72,24
"S08089","SLH",410567.0466,4023069.866,"1960",6,"2005",45,0,2317,18.0539,4.398705,174.6425,"tree_mortality_100%",11,4,0,55,30,0
"S08090","SLH",410367.0466,4022949.866,"1960",4,"2005",45,52.0833333333333,2327,19.67241,53.53077,141.4214,"tree_mortality_100%",30,6,14,15,35,0
"S08091","SLH",410207.0466,4022839.866,"1960",10,"2005",45,22.2222222222222,2382,12.97935,77.47119,123.6932,"tree_mortality_100%",23,14,9,23,31,0
"S08092","SLH",412017.0466,4022759.866,"1960",4,"2005",45,0,2185,26.24685,120.4655,148.6607,"tree_mortality_100%",12,0,11,47,30,0
